"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04519","Cadherin signaling","3/68","242/4955",0.012396694214876,0.903317938745746,-0.181893069570526,0.6531710223806,0.782862940890526,0.677782303231287,"Gabrg2/Tmc7/Krt79",3
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway","1/68","77/4955",0.012987012987013,0.94633307868602,-0.0559812297662113,0.657790163351803,0.782862940890526,0.677782303231287,"Ngf",1
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","1/68","77/4955",0.012987012987013,0.94633307868602,-0.0559812297662113,0.657790163351803,0.782862940890526,0.677782303231287,"Ngf",1
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","1/68","77/4955",0.012987012987013,0.94633307868602,-0.0559812297662113,0.657790163351803,0.782862940890526,0.677782303231287,"Mlycd",1
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","1/68","78/4955",0.0128205128205128,0.93420060331825,-0.0690882390071621,0.662560616179207,0.783026182757245,0.677923633779241,"Fos",1
"Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","1/68","79/4955",0.0126582278481013,0.922375279225614,-0.0820338390145656,0.667265532746731,0.783110243293039,0.677996411197337,"Fos",1
"Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","1/68","80/4955",0.0125,0.910845588235294,-0.0948225893035123,0.671905800132544,0.783117794637241,0.678002948954073,"Dusp1",1
"Organismal Systems","Endocrine system","mmu04926","Relaxin signaling pathway","1/68","86/4955",0.0116279069767442,0.847298221614227,-0.168494108946947,0.698437977118743,0.80846587762375,0.699948657674876,"Fos",1
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","1/68","89/4955",0.0112359550561798,0.818737607402512,-0.203529772526104,0.710899627778904,0.816383807639409,0.706803794841967,"Fos",1
"Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse","1/68","90/4955",0.0111111111111111,0.809640522875817,-0.214963944982342,0.714939665861731,0.816383807639409,0.706803794841967,"Fos",1
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","1/68","95/4955",0.0105263157894737,0.76702786377709,-0.270432534200278,0.73432022368773,0.826377341899575,0.715455935995272,"Fos",1
