"Gene","Genus","r","p_raw","p_adj","gene_dir","genus_dir"
"Syt8","Corynebacterium",-0.118181818181818,0.72928477951978,0.982302948232868,4,1
"Arc","Enterococcus",-0.118181818181818,0.72928477951978,0.982302948232868,4,1
"Svs2","Prevotellaceae_UCG-001",-0.110096376512636,0.747264597168345,0.982302948232868,2,-1
"Ifit1","Ralstonia",0.109090909090909,0.749508596234148,0.982302948232868,4,1
"B3galt5","Ralstonia",0.109090909090909,0.749508596234148,0.982302948232868,2,1
"Ifitm1","Pseudomonas",-0.109090909090909,0.749508596234148,0.982302948232868,4,1
"Pbk","Staphylococcus",-0.109090909090909,0.749508596234148,0.982302948232868,4,1
"Uspl1","Staphylococcus",-0.109090909090909,0.749508596234148,0.982302948232868,4,1
"Uspl1","Prevotellaceae_UCG-001",-0.109090909090909,0.749508596234148,0.982302948232868,4,-1
"B3galt5","Enterococcus",-0.109090909090909,0.749508596234148,0.982302948232868,2,1
"Csn3","Romboutsia",-0.104783870942987,0.759140583555185,0.982302948232868,2,1
"Ifit1","Romboutsia",-0.1,0.769874999892137,0.982302948232868,4,1
"Ncapg","Romboutsia",0.1,0.769874999892137,0.982302948232868,4,1
"Ifit1bl1","Ralstonia",0.1,0.769874999892137,0.982302948232868,4,1
"Ifi44","Ralstonia",0.1,0.769874999892137,0.982302948232868,4,1
"Nusap1","Ralstonia",-0.1,0.769874999892137,0.982302948232868,4,1
"Arc","Ralstonia",-0.1,0.769874999892137,0.982302948232868,4,1
"Ifit1","Staphylococcus",-0.1,0.769874999892137,0.982302948232868,4,1
"Hmgn2","Prevotellaceae_UCG-001",0.1,0.769874999892137,0.982302948232868,4,-1
"Selenoh","Prevotellaceae_UCG-001",-0.1,0.769874999892137,0.982302948232868,4,-1
"Syn2","Brevibacillus",0.0956722299914231,0.779617362063818,0.982302948232868,2,-1
"Sctr","Staphylococcus",0.0956722299914231,0.779617362063818,0.982302948232868,2,1
"Csn3","Enterococcus",-0.0956722299914231,0.779617362063818,0.982302948232868,2,1
"Svs2","Pseudomonas",0.0917469804271967,0.788478313421582,0.982302948232868,2,1
"Oas1g","Bacteroides",-0.091116409515641,0.789903906035232,0.982302948232868,4,-1
"Syt8","Brevibacillus",0.0909090909090909,0.79037273775329,0.982302948232868,4,-1
"Gbp2","Ralstonia",0.0909090909090909,0.79037273775329,0.982302948232868,4,1
"Nnat","Ralstonia",-0.0909090909090909,0.79037273775329,0.982302948232868,2,1
"Ifit1bl1","Staphylococcus",0.0909090909090909,0.79037273775329,0.982302948232868,4,1
"Ifi44","Staphylococcus",-0.0909090909090909,0.79037273775329,0.982302948232868,4,1
"Thbs1","Bacteroides",-0.0909090909090909,0.79037273775329,0.982302948232868,4,-1
"Arc","Brevibacillus",0.0818181818181818,0.810990394300046,0.982302948232868,4,-1
"Ifi203","Pseudomonas",-0.0818181818181818,0.810990394300046,0.982302948232868,4,1
