"Gene","Genus","r","p_raw","p_adj","gene_dir","genus_dir"
"Ifitm1","Geobacillus",0.172727272727273,0.611542384851237,0.982302948232868,4,-1
"Ccnb1","Pseudomonas",-0.172727272727273,0.611542384851237,0.982302948232868,4,1
"Ncapg","Staphylococcus",0.172727272727273,0.611542384851237,0.982302948232868,4,1
"Ifit1bl1","Prevotellaceae_UCG-001",0.172727272727273,0.611542384851237,0.982302948232868,4,-1
"Uspl1","Bacteroides",0.172727272727273,0.611542384851237,0.982302948232868,4,-1
"Sctr","Ralstonia",0.168565357603936,0.62027999231038,0.982302948232868,2,1
"Nfil3","Romboutsia",-0.163636363636364,0.630685214642536,0.982302948232868,4,1
"Ifi203","Romboutsia",0.163636363636364,0.630685214642536,0.982302948232868,4,1
"Chordc1","Ralstonia",-0.163636363636364,0.630685214642536,0.982302948232868,4,1
"Irgm2","Ralstonia",0.163636363636364,0.630685214642536,0.982302948232868,4,1
"Ifi203","Geobacillus",-0.163636363636364,0.630685214642536,0.982302948232868,4,-1
"Nfil3","Staphylococcus",-0.163636363636364,0.630685214642536,0.982302948232868,4,1
"Nnat","Streptococcus",0.163636363636364,0.630685214642536,0.982302948232868,2,1
"Krt79","Bacteroides",-0.163636363636364,0.630685214642536,0.982302948232868,2,-1
"Cmah","Enterococcus",-0.163636363636364,0.630685214642536,0.982302948232868,4,1
"Msln","Enterococcus",-0.163636363636364,0.630685214642536,0.982302948232868,2,1
"Pbk","Romboutsia",-0.154545454545455,0.65003396549758,0.982302948232868,4,1
"Nfil3","Geobacillus",0.154545454545455,0.65003396549758,0.982302948232868,4,-1
"Ncapg","Pseudomonas",-0.154545454545455,0.65003396549758,0.982302948232868,4,1
"Rpusd4","Prevotellaceae_UCG-001",0.154545454545455,0.65003396549758,0.982302948232868,2,-1
"Krt79","Prevotellaceae_UCG-001",-0.154545454545455,0.65003396549758,0.982302948232868,2,-1
"Scoc","Enterococcus",0.154545454545455,0.65003396549758,0.982302948232868,4,1
"Svs2","Enterococcus",-0.146795168683515,0.666684498280762,0.982302948232868,2,1
"Pbk","Geobacillus",-0.145454545454545,0.669578645642079,0.982302948232868,4,-1
"Irgm2","Geobacillus",-0.145454545454545,0.669578645642079,0.982302948232868,4,-1
"Cmah","Pseudomonas",-0.145454545454545,0.669578645642079,0.982302948232868,4,1
"Rpusd4","Alloprevotella",-0.145454545454545,0.669578645642079,0.982302948232868,2,-1
"Pmaip1","Romboutsia",0.136363636363636,0.689309020586362,0.982302948232868,4,1
"Arc","Romboutsia",0.136363636363636,0.689309020586362,0.982302948232868,4,1
"Pbk","Ralstonia",-0.136363636363636,0.689309020586362,0.982302948232868,4,1
"Hmgn2","Streptococcus",-0.136363636363636,0.689309020586362,0.982302948232868,4,1
"Gbp2","Prevotellaceae_UCG-001",0.136363636363636,0.689309020586362,0.982302948232868,4,-1
"Nusap1","Romboutsia",-0.127272727272727,0.709214625773305,0.982302948232868,4,1
"Ifit1bl1","Enterococcus",0.127272727272727,0.709214625773305,0.982302948232868,4,1
"Oas1g","Pseudomonas",-0.123007152846115,0.718611975240987,0.982302948232868,4,1
"Sctr","Geobacillus",0.118451332370333,0.728687504011136,0.982302948232868,2,-1
"Msln","Geobacillus",-0.118181818181818,0.72928477951978,0.982302948232868,2,-1
"Ifit1","Pseudomonas",0.118181818181818,0.72928477951978,0.982302948232868,4,1
