"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SSB",5.54901841961163e-22,0.216820785980187,0.667,0.479,1.10980368392233e-17
"CCT5",1.42911111370711e-22,0.216224165074989,0.572,0.389,2.85822222741421e-18
"PSMB7",2.79411947518842e-20,0.215479217794801,0.75,0.585,5.58823895037684e-16
"NDUFV2",8.44414168033229e-16,0.215259673511372,0.854,0.734,1.68882833606646e-11
"UQCRC1",8.21329999722075e-19,0.215144199254698,0.723,0.558,1.64265999944415e-14
"DNPH1",2.55856948792502e-16,0.215106660462284,0.739,0.572,5.11713897585005e-12
"SYNGR2",2.65975852654767e-13,0.214809259050698,0.899,0.769,5.31951705309533e-09
"EIF3I",8.24050451827609e-22,0.214586981100139,0.761,0.589,1.64810090365522e-17
"HLA-C",1.12976475761592e-17,0.214482211230857,1,0.999,2.25952951523185e-13
"MNDA",4.27619047534755e-15,0.214067554613403,0.697,0.544,8.5523809506951e-11
"UBE2I",4.91326549484573e-21,0.213846254144002,0.788,0.604,9.82653098969147e-17
"TOMM40",7.51932407897502e-31,0.213047380738043,0.419,0.221,1.503864815795e-26
"PSMD8",3.47693261637253e-19,0.213038694806648,0.828,0.685,6.95386523274505e-15
"HNRNPA3",1.08066502369443e-17,0.21287386124748,0.867,0.74,2.16133004738887e-13
"PSMA3",2.77283203422458e-18,0.212635358408956,0.673,0.509,5.54566406844916e-14
"BTF3",5.06518448685403e-22,0.21245942512104,0.993,0.958,1.01303689737081e-17
"POLR2G",2.4606976942731e-23,0.210452795293586,0.688,0.498,4.92139538854621e-19
"MRPL23",1.29338802505156e-21,0.210256049213944,0.729,0.544,2.58677605010313e-17
"CHCHD2",1.37861877776554e-25,0.210197276252948,0.989,0.98,2.75723755553109e-21
"PLP2",4.57484721794402e-11,0.210136488225746,0.764,0.625,9.14969443588804e-07
"CKS1B",2.21522474219869e-17,0.210028248876975,0.374,0.232,4.43044948439738e-13
"HSPE1",9.31490451134183e-09,0.209795829350149,0.893,0.798,0.000186298090226837
"ACTR3",1.74153395310431e-12,0.208002829905938,0.834,0.733,3.48306790620862e-08
"RPS6",1.64082754376233e-16,0.207779008000673,0.999,0.999,3.28165508752466e-12
"RPS17",1.75556025231998e-16,0.207628362014074,0.999,0.997,3.51112050463995e-12
"CD1B",1.27240158519499e-11,0.207531748939419,0.138,0.064,2.54480317038998e-07
"PSMB3",2.83843406490228e-19,0.207422857998539,0.937,0.863,5.67686812980456e-15
"EIF3L",2.00922600722004e-13,0.207345134498432,0.786,0.646,4.01845201444008e-09
"COX7C",4.38670116826739e-21,0.207037782265758,0.99,0.958,8.77340233653479e-17
"LSM5",2.14412900887338e-20,0.206633853988845,0.658,0.473,4.28825801774677e-16
"TK1",2.33027248443756e-18,0.206450735448868,0.187,0.08,4.66054496887512e-14
"ERH",4.96554644199625e-19,0.205622255117317,0.81,0.652,9.93109288399249e-15
"RPS23",4.2061988460042e-13,0.205375399390022,0.999,0.995,8.4123976920084e-09
"RPS3",5.69641331072958e-18,0.204729384575298,0.999,0.996,1.13928266214592e-13
"OSTC",1.52184457288501e-18,0.204524517701953,0.767,0.594,3.04368914577002e-14
"DRAP1",3.68668270162803e-16,0.204368909053046,0.922,0.83,7.37336540325605e-12
"CLTA",2.33423405185989e-12,0.204245609311219,0.865,0.76,4.66846810371979e-08
"CCT7",1.3061967153439e-20,0.20367307726376,0.577,0.41,2.6123934306878e-16
"UCHL3",1.9250170165075e-28,0.203645981240439,0.446,0.248,3.85003403301501e-24
"MRPL3",2.06078764272855e-35,0.20307151549899,0.405,0.196,4.1215752854571e-31
"MRPL55",4.77109633725854e-20,0.202805252673128,0.671,0.479,9.54219267451709e-16
"SEPT7",1.38606549437005e-19,0.202690113796913,0.701,0.519,2.7721309887401e-15
"HNRNPA2B1",5.42980981231899e-16,0.202318529871496,0.963,0.89,1.0859619624638e-11
"DBNL",1.31862966542458e-16,0.201737445446274,0.739,0.582,2.63725933084915e-12
"GPX1",2.62571828545401e-13,0.201472072390632,0.989,0.962,5.25143657090802e-09
"TRAC",1.21796593790557e-05,0.201460512704373,0.333,0.264,0.243593187581115
"RPL3",4.61903962681306e-15,0.201248724406366,0.998,0.997,9.23807925362612e-11
"GSTK1",2.19665248648058e-18,0.201231588731996,0.836,0.688,4.39330497296117e-14
"MRPS12",1.39850854831586e-28,0.201138520435984,0.504,0.294,2.79701709663173e-24
"ATP5J",1.37196223027953e-16,0.200800488978756,0.915,0.835,2.74392446055907e-12
"SPIB",6.92438453326449e-13,0.200676114434787,0.138,0.061,1.3848769066529e-08
"EIF3F",7.57506900115382e-16,0.200668352950097,0.866,0.742,1.51501380023076e-11
"MRPL51",2.5324846801514e-18,0.200550547357819,0.772,0.608,5.06496936030279e-14
"HNRNPDL",3.10914482267176e-13,0.200466387332305,0.86,0.751,6.21828964534351e-09
"UQCRH",1.08292020767858e-16,0.20042950707133,0.968,0.907,2.16584041535716e-12
"MYL12A",7.8401326435349e-14,0.200120205929528,0.979,0.95,1.56802652870698e-09
"GSTP1",5.77542281101279e-16,0.199623518172713,0.973,0.913,1.15508456220256e-11
"NDUFS7",2.13834350490512e-17,0.199489003445521,0.809,0.644,4.27668700981024e-13
"SRP9",2.04734012940161e-19,0.199207519624027,0.711,0.535,4.09468025880321e-15
"SPCS1",2.69600345610963e-18,0.199075098849173,0.853,0.712,5.39200691221927e-14
"SNRNP25",1.09866338247458e-23,0.198978218440701,0.482,0.295,2.19732676494915e-19
"ARL6IP5",8.01576744693287e-15,0.19884854282359,0.862,0.737,1.60315348938657e-10
"CST3",3.04866832176234e-09,0.198710087326729,0.998,0.982,6.09733664352467e-05
"LST1",7.19954257006024e-10,0.198329496538358,0.972,0.926,1.43990851401205e-05
"HLA-DMB",1.66061515208171e-13,0.197995281222735,0.917,0.782,3.32123030416341e-09
"LDHA",2.00074353482797e-11,0.197874120498903,0.959,0.899,4.00148706965593e-07
"HSP90AB1",2.75893265633938e-15,0.197847042548151,0.956,0.897,5.51786531267876e-11
"ATP5J2",1.55226484966442e-18,0.197810000701059,0.949,0.86,3.10452969932883e-14
"PAK1",2.43554213519329e-17,0.197556707023286,0.536,0.367,4.87108427038657e-13
"UFC1",6.01952410590962e-18,0.197503080843832,0.768,0.586,1.20390482118192e-13
"CNDP2",3.44589347059515e-18,0.197233611610934,0.624,0.443,6.89178694119031e-14
"H2AFZ",0.000192947087424646,0.197151615063673,0.933,0.874,1
"ITPA",3.76251727709888e-24,0.196943515268927,0.583,0.387,7.52503455419776e-20
"SDHD",2.2512305707891e-19,0.196586793249823,0.673,0.488,4.5024611415782e-15
"EZR",1.96251650304901e-07,0.195934735039649,0.755,0.623,0.00392503300609802
"NUDT1",4.80492244202918e-20,0.195901040744801,0.556,0.376,9.60984488405836e-16
"ANXA2",9.65724993498205e-11,0.194707473764856,0.992,0.984,1.93144998699641e-06
"GALM",2.16118309371941e-22,0.194621487557038,0.473,0.295,4.32236618743882e-18
"PPA2",1.37298364180135e-23,0.194439484229478,0.557,0.36,2.7459672836027e-19
"C1orf162",9.84266334333312e-12,0.194386153242356,0.758,0.615,1.96853266866662e-07
"ATG3",2.34951079309275e-14,0.19430907174384,0.76,0.611,4.69902158618551e-10
"CALR",8.63977038926921e-14,0.193367005215275,0.96,0.925,1.72795407785384e-09
"EID1",1.9302651950558e-17,0.193035371627993,0.771,0.596,3.86053039011159e-13
"EIF3H",4.42900769336603e-14,0.193012442015254,0.879,0.755,8.85801538673206e-10
