#OTU ID	WTN.2.F	WTN.3.F	dbS.3.F	WTN.1.F	dbN.3.F	WTS.3.F	dbS.1.F	dbN.2.F	dbN.1.F	WTS.2.F	WTS.1.F	dbS.2.F	dbN.1.O	dbN.2.O	dbS.1.B	dbN.1.B	dbS.3.B	WTS.1.B	dbN.3.B	WTS.1.L	WTN.1.L	WTN.2.O	WTS.1.O	WTS.2.O	WTN.3.O	WTN.1.O	dbS.3.O	WTN.2.L	WTS.2.B	dbS.2.L	dbS.1.L	WTN.3.B	dbN.1.L	WTS.3.L	WTN.2.B	dbS.1.O	WTN.1.B	dbN.2.L	dbS.3.L	WTS.3.B	dbN.3.O	dbN.3.L	WTN.3.L	WTS.2.L	dbN.2.B	dbS.2.B	dbS.2.O	Taxonomy
ASV47	25	0	0	0	0	0	0	0	0	0	0	0	81	889	0	0	0	7	0	0	0	154	72	121	238	575	0	0	0	0	805	0	0	0	0	158	0	56	0	0	111	83	366	131	0	0	173	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_danieliae
ASV48	72	1870	41	111	90	59	44	0	0	42	49	71	8	0	0	0	0	30	0	147	2	4	0	5	0	11	18	0	4	4	2	1031	11	22	61	0	29	0	0	49	0	23	0	236	17	14	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
ASV49	441	0	730	39	0	22	134	10	263	54	0	57	0	0	0	0	0	0	0	0	0	0	333	23	0	291	39	12	101	0	77	27	0	547	19	26	104	0	0	21	37	0	21	0	364	74	89	k__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus
ASV50	156	209	425	92	198	45	67	296	980	87	132	97	12	0	39	44	59	0	54	0	0	0	0	31	36	85	81	125	0	28	19	37	0	7	89	49	139	0	77	4	0	0	18	9	119	139	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
ASV51	287	217	41	155	60	125	49	13	3	226	627	49	15	0	0	0	13	164	0	0	0	4	0	12	26	15	11	7	20	0	0	134	0	0	364	0	554	0	0	614	0	0	0	55	10	14	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__
ASV52	0	0	128	0	160	0	682	27	245	0	0	239	0	0	452	557	576	0	329	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	43	0	0	0	0	0	0	0	0	120	369	0	k__Bacteria; p__Firmicutes; c__Bacilli
ASV53	67	25	2516	40	52	44	31	19	860	35	43	47	0	0	10	0	0	0	4	0	0	0	0	27	13	47	50	1	0	0	0	0	0	0	0	24	18	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__
ASV54	0	13	16	16	354	32	30	0	0	46	18	231	20	0	324	345	326	0	44	23	6	0	0	2	3	0	0	77	0	26	143	72	63	42	46	45	79	25	649	43	0	25	0	96	174	218	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Romboutsia
ASV55	56	464	36	607	109	498	29	0	0	607	224	71	0	0	0	0	0	116	0	0	0	0	0	40	0	11	45	0	0	0	0	327	0	0	137	0	203	0	0	124	0	0	0	41	0	18	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group
ASV56	0	0	163	0	151	0	666	41	229	0	0	209	0	0	532	278	500	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	77	528	0	k__Bacteria; p__Firmicutes; c__Bacilli
