"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005126","MF","GO:0005126","cytokine receptor binding","14/78","273/18432",7.6963774445712e-12,2.92462342893706e-10,2.44393739906559e-10,"CCL18/CXCL5/CCL3L3/CCL20/IL1RN/CCL3/CXCL8/CXCL2/CXCL3/IL1B/CXCL1/IL6/CCL4/IL1A",14
"GO:0045236","MF","GO:0045236","CXCR chemokine receptor binding","5/78","18/18432",9.77868902629949e-09,3.18505871142326e-07,2.66156799061685e-07,"CXCL5/CXCL8/CXCL2/CXCL3/CXCL1",5
"GO:0001664","MF","GO:0001664","G protein-coupled receptor binding","11/78","289/18432",3.56841206113778e-08,1.01699743742427e-06,8.49845504034128e-07,"CCL18/CXCL5/CCL3L3/CCL20/CCL3/CXCL8/CXCL2/CXCL3/FCN1/CXCL1/CCL4",11
"GO:0034987","MF","GO:0034987","immunoglobulin receptor binding","6/78","79/18432",1.0271852674124e-06,2.60220267744474e-05,2.17450916259232e-05,"IGLC3/IGLC2/IGHG4/IGKC/IGHG1/IGHG3",6
"GO:0048020","MF","GO:0048020","CCR chemokine receptor binding","5/78","47/18432",1.59080699113619e-06,3.62703993979052e-05,3.03090595153317e-05,"CCL18/CCL3L3/CCL20/CCL3/CCL4",5
"GO:0003823","MF","GO:0003823","antigen binding","7/78","171/18432",7.94232574115796e-06,0.000162704039868864,0.00013596228631701,"IGLC3/IGLC2/IGHG4/IGKC/IGHG1/IGHG3/FCN1",7
"GO:0050786","MF","GO:0050786","RAGE receptor binding","3/78","10/18432",8.56337051941389e-06,0.000162704039868864,0.00013596228631701,"S100A8/S100A9/S100A12",3
"GO:0005149","MF","GO:0005149","interleukin-1 receptor binding","3/78","17/18432",4.75000656629336e-05,0.000833078074703758,0.000696154808501294,"IL1RN/IL1B/IL1A",3
"GO:0001968","MF","GO:0001968","fibronectin binding","3/78","31/18432",0.000300878090664163,0.00483958544997846,0.0040441595865471,"TNFAIP6/THBS1/CTSL",3
"GO:0070851","MF","GO:0070851","growth factor receptor binding","5/78","140/18432",0.000318393779603846,0.00483958544997846,0.0040441595865471,"IL1RN/EREG/IL1B/IL6/IL1A",5
"GO:0008083","MF","GO:0008083","growth factor activity","5/78","162/18432",0.00062065983461645,0.00884440264328441,0.00739075197799852,"TIMP1/EREG/INHBA/CXCL1/IL6",5
"GO:0005381","MF","GO:0005381","iron ion transmembrane transporter activity","2/78","10/18432",0.000778255215406425,0.0104377758301568,0.00872224111384291,"SLC25A37/SLC11A1",2
"GO:0035325","MF","GO:0035325","Toll-like receptor binding","2/78","12/18432",0.001135189865702,0.0143790716322253,0.0120157523796527,"S100A8/S100A9",2
"GO:0036041","MF","GO:0036041","long-chain fatty acid binding","2/78","15/18432",0.00179117980881523,0.0214941577057827,0.0179614152573715,"S100A8/S100A9",2
"GO:0005518","MF","GO:0005518","collagen binding","3/78","69/18432",0.00312522489211841,0.0356275637701499,0.0297718792354438,"CD44/THBS1/CTSL",3
"GO:0005540","MF","GO:0005540","hyaluronic acid binding","2/78","24/18432",0.00459361713127855,0.0476065775423413,0.0397820430986324,"CD44/TNFAIP6",2
"GO:0140358","MF","GO:0140358","P-type transmembrane transporter activity","2/78","24/18432",0.00459361713127855,0.0476065775423413,0.0397820430986324,"ATP2B1/ATP13A3",2
"GO:0048306","MF","GO:0048306","calcium-dependent protein binding","3/78","81/18432",0.00490806110131704,0.0486538230913167,0.0406571651871114,"S100A8/S100A9/S100A12",3
