"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Pseudomonas","DB_Treated - WT_Control","WT_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,1,"ns"
"Others","DB_Control - DB_Treated","DB_Treated","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,0.765594483995764,"ns"
"Stenotrophomonas","DB_Control - DB_Treated","DB_Control","Dunn",0.0891,"r (|Z|/sqrt(N))",0.2673,0.789268026134281,1,"ns"
"Stenotrophomonas","DB_Control - WT_Control","DB_Control","Dunn",0.0891,"r (|Z|/sqrt(N))",0.2673,0.789268026134281,1,"ns"
"Alistipes","DB_Treated - WT_Control","DB_Treated","Dunn",0.0748,"r (|Z|/sqrt(N))",-0.2245,0.822333756389101,0.822333756389101,"ns"
"Ruminococcus_torques_group","DB_Control - DB_Treated","DB_Control","Dunn",0.068,"r (|Z|/sqrt(N))",0.2041,0.838256486385826,0.838256486385826,"ns"
"Sphingobium","DB_Control - WT_Control","DB_Control","Dunn",0.068,"r (|Z|/sqrt(N))",0.2041,0.838256486385826,0.838256486385826,"ns"
"Lysobacter","DB_Control - DB_Treated","DB_Control","Dunn",0.068,"r (|Z|/sqrt(N))",-0.2041,0.838256486385826,0.838256486385826,"ns"
"Intestinibacter","DB_Control - WT_Control","DB_Control","Dunn",0.059,"r (|Z|/sqrt(N))",-0.1771,0.859411794142961,0.859411794142961,"ns"
"Intestinibacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.059,"r (|Z|/sqrt(N))",0.1771,0.859411794142961,1,"ns"
