"Feature","Comparison","Group","Method","EffectSize","EffectSize_type","Z_statistic","P.unadj","P.adj","Significance"
"Acinetobacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.0998,"r (|Z|/sqrt(N))",0.2994,0.76464060276583,0.76464060276583,"ns"
"Lactococcus","DB_Control - DB_Treated","DB_Treated","Dunn",0.0998,"r (|Z|/sqrt(N))",-0.2994,0.76464060276583,0.76464060276583,"ns"
"Family_XIII_UCG-001","DB_Control - WT_Control","DB_Control","Dunn",0.0998,"r (|Z|/sqrt(N))",0.2994,0.76464060276583,0.76464060276583,"ns"
"Pseudomonas","DB_Control - DB_Treated","DB_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,1,"ns"
"Bacteroides","DB_Treated - WT_Control","DB_Treated","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,0.765594483995764,"ns"
"Bacillus","DB_Control - DB_Treated","DB_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",0.2981,0.765594483995764,0.765594483995764,"ns"
"Colidextribacter","DB_Treated - WT_Control","WT_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",0.2981,0.765594483995764,0.765594483995764,"ns"
"Enterococcus","DB_Control - WT_Control","DB_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",0.2981,0.765594483995764,0.765594483995764,"ns"
"Odoribacter","DB_Treated - WT_Control","WT_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,0.765594483995764,"ns"
"Eubacterium_coprostanoligenes_group","DB_Control - WT_Control","WT_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,0.765594483995764,"ns"
"Butyricicoccus","DB_Control - WT_Control","WT_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,0.765594483995764,"ns"
"Erysipelatoclostridium","DB_Treated - WT_Control","WT_Control","Dunn",0.0994,"r (|Z|/sqrt(N))",-0.2981,0.765594483995764,0.765594483995764,"ns"
"Klebsiella","DB_Control - WT_Control","DB_Control","Dunn",0.0821,"r (|Z|/sqrt(N))",0.2462,0.805540588667494,0.805540588667494,"ns"
"Lysobacter","DB_Treated - WT_Control","DB_Treated","Dunn",0.0778,"r (|Z|/sqrt(N))",0.2335,0.815334594355228,0.815334594355228,"ns"
