NL,LP,LN,CA
,,,1.375222355
,,,0.404484186
,,,1.248670946
,,,1.23415092
,,,0.432969514
,,,0.75459996
,,,0
,,,0
,,,1.37560901
,,,0
,,,0
,,,0
,,,0.886631468
,,,1.305074976
,,,1.539731744
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0.971702985
,,,0
,,,0
,,,0.852744225
,,,0.877257615
,,,0.692098832
,,,0
,,,1.062556716
,,,0.986041268
,,,0.431130508
,,,0
,,,1.213150419
,,,0
,,,0.468605378
,,,0
,,,0
,,,0.853362556
,,,0
,,,0
,,,1.191655162
,,,1.5606164
,,,0.601587898
,,,0.400754567
,,,0.699023542
,,,0.908723104
,,,0.861409356
,,,0.73997848
,,,0
,,,0.858813783
,,,0.559562222
,,,0.617684034
,,,0.68626886
,,,0
,,,0.889071646
,,,0
,,,1.08396314
,,,0.70032364
,,,0
,,,0
,,,1.26778506
,,,0.518323088
,,,0.60956477
,,,0
,,,0.806099622
,,,0.777959028
,,,0.884539282
,,,0
,,,1.717276507
,,,1.290144461
,,,0.800314769
,,,0
,,,0.817513887
,,,0
,,,0.718044732
,,,0.836252383
,,,0
,,,0
,,,0.651689495
,,,0.51695316
,,,0
,,,0.762261977
,,,0
,,,0.677744476
,,,0
,,,0.700783701
,,,0
,,,1.183340067
,,,1.216873467
,,,0
,,,0.878736657
,,,0.968397288
,,,0.688825374
,,,1.397670058
,,,0.723413715
,,,0.870747616
,,,0
,,,1.348288789
,,,0
,,,0.55533711
