"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","14/188","243/4955",0.0576131687242798,1.51847473951493,1.64574463418384,0.0762401471046361,0.422370414959684,0.377188096201884,"Il1b/mt-Co2/Calm1/mt-Atp6/mt-Nd4/Ptgs2/mt-Atp8/Pik3r2/Tubb2a/Lpl/mt-Nd1/mt-Cytb/mt-Co3/Tnfrsf1a",14
"Metabolism","Global and overview maps","mmu01232","Nucleotide metabolism","4/188","43/4955",0.0930232558139535,2.45175655616032,1.89859876705763,0.0785762865322397,0.426777085675106,0.381123371209006,"Tymp/Upp1/Ada/Entpd3",4
"Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway","8/188","119/4955",0.0672268907563025,1.77185767924191,1.69239570197923,0.0813304925895006,0.433241277832532,0.386896067986491,"Hsp90ab1/Il1b/Irf7/Rnf31/Jun/Hsp90aa1/Oas1g/Antxr1",8
"Cellular Processes","Cell growth and death","mmu04217","Necroptosis","6/188","81/4955",0.0740740740740741,1.95232466509062,1.71600729377781,0.0858387790951126,0.448629090742381,0.400637797166861,"Hsp90ab1/Il1b/Glud1/Rnf31/Hsp90aa1/Tnfrsf1a",6
"Human Diseases","Infectious disease: viral","mmu05164","Influenza A","7/188","101/4955",0.0693069306930693,1.82668000842637,1.66679652331286,0.0877786575696265,0.450272002718269,0.402104961576262,"Dnajb1/Il1b/Irf7/Xpo1/Pik3r2/Oas1g/Tnfrsf1a",7
"Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism","5/188","64/4955",0.078125,2.05909242021277,1.69339925836545,0.0942072377787441,0.456222700198668,0.407419093850226,"Ada/Pde4b/Entpd3/Pde9a/Nudt5",5
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","5/188","64/4955",0.078125,2.05909242021277,1.69339925836545,0.0942072377787441,0.456222700198668,0.407419093850226,"Thbs1/Tfrc/Bmp8b/Trf/Inhba",5
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria","4/188","46/4955",0.0869565217391304,2.29185938945421,1.74796203484064,0.0953617600969391,0.456222700198668,0.407419093850226,"Cd36/Il1b/Thbs1/Klra5",4
"Metabolism","Amino acid metabolism","mmu00270","Cysteine and methionine metabolism","3/188","29/4955",0.103448275862069,2.72652237710932,1.85164768495404,0.0955267747708403,0.456222700198668,0.407419093850226,"Cdo1/Mpst/Amd2",3
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","4/188","47/4955",0.0851063829787234,2.24309642372114,1.70034018469061,0.101304375529831,0.467688533696055,0.417658390342287,"Cd36/Prkaa2/Tnfrsf1a/Ppara",4
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","4/188","47/4955",0.0851063829787234,2.24309642372114,1.70034018469061,0.101304375529831,0.467688533696055,0.417658390342287,"Rb1/Erbb2/Pik3r2/Tgfa",4
"Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism","3/188","30/4955",0.1,2.63563829787234,1.78434624220856,0.103316342734112,0.469157818645067,0.41897050116508,"Tymp/Upp1/Entpd3",3
"Organismal Systems","Digestive system","mmu04975","Fat digestion and absorption","3/188","31/4955",0.0967741935483871,2.55061770761839,1.71973255939943,0.111348805129886,0.480465753751646,0.429068790163924,"Cd36/Plpp1/Fabp2",3
"Organismal Systems","Digestive system","mmu04979","Cholesterol metabolism","3/188","31/4955",0.0967741935483871,2.55061770761839,1.71973255939943,0.111348805129886,0.480465753751646,0.429068790163924,"Cd36/Cideb/Lpl",3
"Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19","10/188","171/4955",0.0584795321637427,1.54130894612418,1.43048077071688,0.113609292342307,0.480465753751646,0.429068790163924,"Rpl21/Il1b/C5ar1/Isg15/Pik3r2/C1qa/Jun/Oas1g/Tnfrsf1a/Rpsa",10
"Human Diseases","Cancer: specific types","mmu05214","Glioma","4/188","49/4955",0.0816326530612245,2.15154146765089,1.60860050104769,0.113686952881928,0.480465753751646,0.429068790163924,"Calm1/Rb1/Pik3r2/Tgfa",4
"Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway","5/188","68/4955",0.0735294117647059,1.93796933667084,1.54652262394581,0.114479204865013,0.480465753751646,0.429068790163924,"Sik1/Calm1/Creb3/Prkaa2/Ppara",5
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","5/188","69/4955",0.072463768115942,1.90988282454517,1.51135898059293,0.119850726081681,0.488063074786635,0.435853401386506,"Calm1/Nr4a1/Creb3/Gna11/Nr4a2",5
"Organismal Systems","Excretory system","mmu04964","Proximal tubule bicarbonate reclamation","2/188","16/4955",0.125,3.29454787234043,1.82545844508571,0.121395347350961,0.488063074786635,0.435853401386506,"Glud1/Aqp1",2
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","7/188","110/4955",0.0636363636363636,1.67722437137331,1.42631805720865,0.123142895337226,0.488063074786635,0.435853401386506,"H2-K1/H2-Q2/Calm1/Rb1/Pik3r2/Hipk1/H2-T23",7
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","12/188","218/4955",0.055045871559633,1.45081007222331,1.35177532584307,0.123337239115756,0.488063074786635,0.435853401386506,"mt-Co2/mt-Atp6/Rab39b/mt-Nd4/mt-Atp8/Tubb2a/Dnah10/mt-Nd1/mt-Cytb/Hspa5/mt-Co3/Tnfrsf1a",12
"Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1","3/188","33/4955",0.0909090909090909,2.39603481624758,1.59777920487021,0.128096128030101,0.495978012086564,0.442921652442875,"Xpo1/Bicd2/Samhd1",3
"Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity","5/188","71/4955",0.0704225352112676,1.8560833083608,1.44275213586179,0.130942315664433,0.495978012086564,0.442921652442875,"H2-K1/Gzmb/Pik3r2/H2-T23/Ulbp1",5
"Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction","7/188","112/4955",0.0625,1.64727393617021,1.37586000472856,0.131870483793095,0.495978012086564,0.442921652442875,"Cldn2/Cldn4/Prkaa2/Erbb2/Jun/Amotl2/Ezr",7
