"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map05146","map05146","Amoebiasis",87,9,0,0,0,-0.727625160730978,0.466370736289152,1.16027093462951,-1.02906645455304,0.1526,0.271742245989305
"map05145","map05145","Toxoplasmosis",95,5,0,0,0,-0.739115375890337,0.363189413315066,1.15106454834786,-0.957639422383007,0.174,0.304957894736842
"map04141","map04141","Protein processing in endoplasmic reticulum",144,10,0,0,0,1.59683562003801,0.498656486900234,1.15003473665558,0.954909532847145,0.1708,0.302534042553191
"map04979","map04979","Cholesterol metabolism",50,7,0,0,0,-0.666493013692207,0.413614606162554,1.14635207258274,-0.942212820727294,0.1734,0.304957894736842
"map00660","map00660","C5-Branched dibasic acid metabolism",29,13,0,0,0,1.66971031549016,0.57347247256492,1.1736273483944,0.934059558534462,0.1816,0.308320812182741
"map00960","map00960","Tropane, piperidine and pyridine alkaloid biosynthesis",33,6,0,0,0,1.47140713623368,0.388884858321428,1.16410089087916,0.929921355093803,0.1798,0.308320812182741
"map00670","map00670","One carbon pool by folate",43,16,1,0,1,-0.434647971046397,0.638757237470877,1.15636426376856,-0.928258717559356,0.1808,0.308320812182741
"map04659","map04659","Th17 cell differentiation",87,5,0,0,0,-0.723558843590235,0.36266845847488,1.17499898266097,-0.924449568122331,0.1798,0.308320812182741
"map04150","map04150","mTOR signaling pathway",117,5,0,0,0,-0.669563929227305,0.376318797021035,1.1338718168595,-0.922399437658782,0.182,0.308320812182741
"map04728","map04728","Dopaminergic synapse",84,6,0,0,0,-0.671899656906039,0.379441911537425,1.15146026985645,-0.91305066789194,0.18,0.308320812182741
"map04270","map04270","Vascular smooth muscle contraction",96,5,0,0,0,-0.682274594344425,0.367508144793085,1.16632714045858,-0.90007571865708,0.1842,0.309790909090909
"map04660","map04660","T cell receptor signaling pathway",92,5,0,0,0,-0.669563929227305,0.371112010813726,1.15670931452487,-0.899686660229324,0.1824,0.308320812182741
"map00621","map00621","Dioxin degradation",31,6,1,0,1,-0.635857101274979,0.382170479026612,1.14909213774094,-0.885940776083441,0.1904,0.315438805970149
"map04122","map04122","Sulfur relay system",29,20,2,0,2,-0.303546776422825,0.697112459918639,1.14514929410041,-0.873824261602103,0.1862,0.311580904522613
"map04014","map04014","Ras signaling pathway",182,7,0,0,0,-0.579148756326132,0.428356458145499,1.15617741470224,-0.871410565247116,0.1892,0.315018
"map03060","map03060","Protein export",49,24,2,0,2,1.78747003007638,0.778396821304219,1.1601071854437,0.86981032566075,0.1956,0.316913043478261
"map02060","map02060","Phosphotransferase system (PTS)",72,47,8,6,2,2.09457197152072,1.08454257781956,1.16796192036195,0.864779387146584,0.1968,0.316913043478261
"map04022","map04022","cGMP-PKG signaling pathway",121,5,0,0,0,-0.669563929227305,0.339024878232502,1.16929592989723,-0.862560778389485,0.1928,0.316913043478261
"map02040","map02040","Flagellar assembly",55,41,1,0,1,1.9875736820507,1.0013106875032,1.14980883748603,0.857762579650968,0.1956,0.316913043478261
"map00300","map00300","Lysine biosynthesis",48,21,2,1,1,1.69916595879881,0.720647491244071,1.14404590905565,0.855313986798362,0.196,0.316913043478261
"map04350","map04350","TGF-beta signaling pathway",96,3,0,0,0,-0.688077205424021,0.298478291700369,1.15843058350936,-0.851631087065841,0.197,0.316913043478261
"map00480","map00480","Glutathione metabolism",57,17,3,1,2,-0.332856928342295,0.638531775310867,1.15552390757193,-0.840647863092954,0.2024,0.322802870813397
"map00531","map00531","Glycosaminoglycan degradation",15,4,0,0,0,1.2872346206739,0.326972461218369,1.14722339862814,0.837031532484274,0.2026,0.322802870813397
"map00430","map00430","Taurine and hypotaurine metabolism",29,12,3,3,0,1.51584712053727,0.555077536275662,1.16742342317741,0.822982959898692,0.2068,0.325774528301887
"map04071","map04071","Sphingolipid signaling pathway",83,6,1,1,0,-0.615229758756969,0.332787085801547,1.16006431979116,-0.817210587710498,0.2074,0.325774528301887
