"module","species","r","p_value","significance"
"MEred","Lachnoanaerobaculum_umeaense",0.26,0.056,""
"MEred","Veillonella_atypica",0.13,0.34,""
"MEred","Planktothrix_rubescens",-0.16,0.23,""
"MEred","Rothia_mucilaginosa",0.44,8e-04,"***"
"MEred","Prevotella_veroralis",-0.034,0.8,""
"MEred","Candidatus_Nanosynbacter_sp_HMT352",0.22,0.11,""
"MEred","Fusobacterium_periodonticum",0.2,0.13,""
"MEred","Fusobacterium_pseudoperiodonticum",0.2,0.13,""
"MEred","Streptococcus_sp_FDAARGOS_192",0.37,0.0055,"**"
"MEred","Neisseria_mucosa",0.25,0.06,""
"MEred","Leptotrichia_sp_oral_taxon_221",0.23,0.092,""
"MEred","Filifactor_alocis",0.048,0.72,""
"MEred","Prevotella_intermedia",-0.034,0.81,""
"MEred","Streptococcus_pneumoniae",-0.076,0.58,""
"MEred","Parvimonas_micra",0.19,0.17,""
"MEgrey","Prevotella_sp_oral_taxon_299",0.026,0.85,""
"MEgrey","Streptococcus_sp_116_D4",-0.014,0.92,""
"MEgrey","Lancefieldella_parvula",0.13,0.35,""
"MEgrey","Prevotella_jejuni",0.084,0.54,""
"MEgrey","Schaalia_odontolytica",0.082,0.55,""
"MEgrey","Campylobacter_concisus",-0.032,0.81,""
"MEgrey","Erwinia_sp_Ejp617",0.12,0.36,""
"MEgrey","Collinsella_aerofaciens",-0.11,0.42,""
"MEgrey","Prevotella_denticola",-0.22,0.097,""
"MEgrey","Kingella_oralis",-0.18,0.18,""
"MEgrey","Schaalia_meyeri",0.023,0.86,""
"MEgrey","Pantoea_sp_CCBC3_3_1",0.24,0.079,""
"MEgrey","Streptococcus_mitis",0.012,0.93,""
"MEgrey","Schaalia_cardiffensis",0.23,0.087,""
"MEgrey","Nanosynbacter_sp_HMT_352",0.11,0.4,""
"MEgrey","Candidatus_Methylopumilus_turicensis",-0.11,0.4,""
"MEgrey","Streptococcus_sp_1643",0.21,0.13,""
"MEgrey","Porphyromonas_endodontalis",-0.09,0.51,""
"MEgrey","Streptococcus_oralis",0.24,0.077,""
"MEgrey","Prevotella_scopos",0.082,0.55,""
"MEgrey","Desulfobulbus_oralis",0.066,0.63,""
"MEgrey","Tannerella_forsythia",0.18,0.18,""
"MEgrey","Blattabacterium_punctulatus",-0.071,0.6,""
"MEgrey","Streptococcus_pseudopneumoniae",-0.028,0.84,""
"MEgrey","Microbacterium_paludicola",-0.11,0.42,""
"MEgrey","Prevotella_histicola",0.13,0.33,""
"MEgrey","Shewanella_loihica",-0.027,0.84,""
"MEgrey","Olsenella_uli",0.029,0.83,""
"MEgrey","Mogibacterium_diversum",0.17,0.2,""
"MEgrey","Porphyromonas_gingivalis",0.058,0.67,""
"MEgrey","Prevotella_multiformis",-0.14,0.29,""
"MEgrey","Lachnoanaerobaculum_umeaense",0.059,0.66,""
"MEgrey","Veillonella_atypica",0.075,0.58,""
"MEgrey","Planktothrix_rubescens",0.18,0.17,""
"MEgrey","Rothia_mucilaginosa",0.067,0.62,""
"MEgrey","Prevotella_veroralis",0.05,0.71,""
"MEgrey","Candidatus_Nanosynbacter_sp_HMT352",-0.0068,0.96,""
"MEgrey","Fusobacterium_periodonticum",0.1,0.45,""
"MEgrey","Fusobacterium_pseudoperiodonticum",0.021,0.88,""
