"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust","level1"
"map05310","map05310","Asthma",20,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05320","map05320","Autoimmune thyroid disease",25,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05321","map05321","Inflammatory bowel disease",54,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05322","map05322","Systemic lupus erythematosus",45,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05323","map05323","Rheumatoid arthritis",67,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05330","map05330","Allograft rejection",22,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05332","map05332","Graft-versus-host disease",22,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05340","map05340","Primary immunodeficiency",37,1,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05410","map05410","Hypertrophic cardiomyopathy",87,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05412","map05412","Arrhythmogenic right ventricular cardiomyopathy",76,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05414","map05414","Dilated cardiomyopathy",95,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
"map05416","map05416","Viral myocarditis",47,0,0,0,0,NA,NA,NA,NA,NA,NA,"Human Diseases"
